csv_line_id,element_id,thematic_surface,parent_id,element_gml_id,has_holes,related_to,geometry_wkt,construction_gmlid
52,47,party_wall,20,b68c27db-e71a-4c63-abd6-1b495538754a,False,[136],"MULTIPOLYGON Z (((-49.866 16.472 3.052, -49.866 16.472 6.657, -48.208 16.494 6.657, -48.208 16.494 3.052, -49.866 16.472 3.052)))",LayeredConstr_id_0014
53,48,party_wall,20,2631c784-19f7-4293-8e3c-d7fdb61ef335,False,[142],"MULTIPOLYGON Z (((-48.208 16.494 3.052, -48.208 16.494 6.657, -48.271 19.919 6.657, -48.271 19.919 3.052, -48.208 16.494 3.052)))",LayeredConstr_id_0012
54,49,party_wall,20,c65ac859-5e4a-49f9-a2cf-ea54c195b1a3,False,[141],"MULTIPOLYGON Z (((-48.271 19.919 3.052, -48.271 19.919 6.657, -49.474 19.9 6.657, -49.474 19.9 3.052, -48.271 19.919 3.052)))",LayeredConstr_id_0012
55,50,party_wall,20,9fb61d44-fe7e-464c-8ea1-8ce4bffeb22b,False,[157],"MULTIPOLYGON Z (((-49.474 19.9 3.052, -49.474 19.9 6.657, -49.506 22.23 6.657, -49.506 22.23 3.052, -49.474 19.9 3.052)))",LayeredConstr_id_0011
56,51,party_wall,20,ea5da0a4-4542-48df-9bb9-072b84dcf1d1,False,[55],"MULTIPOLYGON Z (((-49.506 22.23 3.052, -49.506 22.23 6.657, -46.195 22.278 6.657, -46.195 22.278 3.052, -49.506 22.23 3.052)))",LayeredConstr_id_0014
57,53,ceiling,20,ccdcaf5b-c80b-4fc5-9eff-6874fcdee96f,False,[],"MULTIPOLYGON Z (((-46.195 22.278 6.657, -49.506 22.23 6.657, -49.474 19.9 6.657, -48.271 19.919 6.657, -48.208 16.494 6.657, -49.866 16.472 6.657, -51.518 16.451 6.657, -53.428 16.426 6.657, -55.633 16.397 6.657, -55.572 13.498 6.657, -53.716 13.593 6.657, -53.723 14.022 6.657, -46.148 14.162 6.657, -38.922 14.296 6.657, -31.419 14.435 6.657, -31.686 16.72 6.657, -33.617 16.692 6.657, -35.589 16.664 6.657, -36.957 16.644 6.657, -36.994 20.076 6.657, -35.127 20.106 6.657, -33.68 20.129 6.657, -31.725 20.16 6.657, -31.502 22.488 6.657, -39.014 22.381 6.657, -46.195 22.278 6.657)))",LayeredConstr_id_0108
58,52,floor,20,fc2152cf-13ce-440e-a4ab-959948141cf0,False,[],"MULTIPOLYGON Z (((-46.195 22.278 3.052, -39.014 22.381 3.052, -31.502 22.488 3.052, -31.725 20.16 3.052, -33.68 20.129 3.052, -35.127 20.106 3.052, -36.994 20.076 3.052, -36.957 16.644 3.052, -35.589 16.664 3.052, -33.617 16.692 3.052, -31.686 16.72 3.052, -31.419 14.435 3.052, -38.922 14.296 3.052, -46.148 14.162 3.052, -53.723 14.022 3.052, -53.716 13.593 3.052, -55.572 13.498 3.052, -55.633 16.397 3.052, -53.428 16.426 3.052, -51.518 16.451 3.052, -49.866 16.472 3.052, -48.208 16.494 3.052, -48.271 19.919 3.052, -49.474 19.9 3.052, -49.506 22.23 3.052, -46.195 22.278 3.052)))",LayeredConstr_id_0109
59,22,door,21,f3d74443-7e3f-491a-80dc-ed147f7a8ad7,True,[14],"MULTIPOLYGON Z (((-41.472 22.345 3.723, -41.472 22.345 5.887, -39.31 22.376 5.887, -39.31 22.376 3.723, -41.472 22.345 3.723)))",
60,24,door,23,efdd328a-2512-4e48-8e7e-cc69c8fd23e5,True,[8],"MULTIPOLYGON Z (((-33.376 22.462 3.771, -34.178 22.45 3.771, -34.178 22.45 5.841, -33.376 22.462 5.841, -33.376 22.462 3.771)))",
61,27,door,26,3e87ac79-31bf-464a-85b8-2f72740fa761,True,[191],"MULTIPOLYGON Z (((-31.926 20.157 3.081, -31.926 20.157 5.823, -32.79 20.143 5.823, -32.79 20.143 3.081, -31.926 20.157 3.081)))",
62,36,door,35,92f20797-fb45-4f50-96f2-cddb9e742d3f,True,[103],"MULTIPOLYGON Z (((-36.551 14.34 3.728, -36.551 14.34 5.85, -37.576 14.321 5.85, -37.576 14.321 3.728, -36.551 14.34 3.728)))",
63,38,door,37,22fb2abf-d426-45f4-a056-47c7b1e5aaab,True,[94],"MULTIPOLYGON Z (((-44.5 14.193 3.715, -44.5 14.193 6.164, -45.929 14.166 6.164, -45.929 14.166 3.715, -44.5 14.193 3.715)))",
64,42,window,41,a95d7bb4-9aeb-405f-84dd-c0bd828e1af0,True,[],"MULTIPOLYGON Z (((-53.895 13.584 3.722, -53.895 13.584 6.03, -55.268 13.514 6.03, -55.268 13.514 3.722, -53.895 13.584 3.722)))",LayeredConstr_id_0106
65,54,room,0,81749bad-3405-446d-919f-fa98c500ede2,,[],,
66,55,party_wall,54,b8b6fd5e-a365-4009-9b9f-5263f30a2f0a,False,[51],"MULTIPOLYGON Z (((-46.195 22.278 3.052, -46.195 22.278 6.657, -49.506 22.23 6.657, -49.506 22.23 3.052, -46.195 22.278 3.052)))",LayeredConstr_id_0014
67,56,party_wall,54,4e079784-af9c-42ef-83ee-d26d9b8bb630,False,[156],"MULTIPOLYGON Z (((-49.506 22.23 3.052, -49.506 22.23 6.657, -53.567 22.172 6.657, -53.567 22.172 3.052, -49.506 22.23 3.052)))",LayeredConstr_id_0014
68,57,party_wall,54,6213f755-3088-4875-8580-aabd2ffae99d,False,[75],"MULTIPOLYGON Z (((-53.567 22.172 3.052, -53.567 22.172 6.657, -53.783 22.169 6.657, -53.783 22.169 3.052, -53.567 22.172 3.052)))",LayeredConstr_id_0014
69,58,party_wall,54,4bb0b96a-4168-4081-af2c-1875b69767f4,False,[74],"MULTIPOLYGON Z (((-53.783 22.169 3.052, -53.783 22.169 6.657, -53.79 22.691 6.657, -53.79 22.691 3.052, -53.783 22.169 3.052)))",LayeredConstr_id_0014
70,59,external,54,91acd393-ef76-4adc-96fa-56be4ed69f60,False,[],"MULTIPOLYGON Z (((-53.79 22.691 6.657, -53.887 29.689 6.657, -53.887 29.689 3.052, -53.79 22.691 3.052, -53.79 22.691 6.657)))",LayeredConstr_id_0113
71,60,external,54,3eb601f5-986c-462e-a659-5a1c1b296fb3,False,[],"MULTIPOLYGON Z (((-53.887 29.689 6.657, -46.396 29.788 6.657, -46.396 29.788 3.052, -53.887 29.689 3.052, -53.887 29.689 6.657)))",LayeredConstr_id_0119
72,60,external_with_hole,54,3eb601f5-986c-462e-a659-5a1c1b296fb3,True,[],"MULTIPOLYGON Z (((-46.396 29.787999999999997 6.657, -46.396 29.787999999999997 3.052, -53.887 29.688999999999997 3.052, -53.887 29.688999999999997 6.657, -46.396 29.787999999999997 6.657), (-46.64399633280298 29.784722515425507 5.791, -46.64399633280298 29.784722515425507 4.6, -53.52299749699252 29.693810605766615 4.6, -53.52299749699252 29.693810605766615 5.791, -46.64399633280298 29.784722515425507 5.791)))",LayeredConstr_id_0119
73,62,party_wall,54,699a584f-bce5-4c55-a116-9f0056f49149,False,[15],"MULTIPOLYGON Z (((-46.396 29.788 6.657, -46.195 22.278 6.657, -46.195 22.278 3.052, -46.396 29.788 3.052, -46.396 29.788 6.657)))",LayeredConstr_id_0014
74,64,ceiling,54,bcfef366-c96d-41b1-ac4f-e8570a0f1328,False,[],"MULTIPOLYGON Z (((-46.195 22.278 6.657, -46.396 29.788 6.657, -53.887 29.689 6.657, -53.79 22.691 6.657, -53.783 22.169 6.657, -53.567 22.172 6.657, -49.506 22.23 6.657, -46.195 22.278 6.657)))",LayeredConstr_id_0108
75,63,floor,54,54c75a54-7fe3-4824-b808-72174bb171cf,False,[],"MULTIPOLYGON Z (((-46.195 22.278 3.052, -49.506 22.23 3.052, -53.567 22.172 3.052, -53.783 22.169 3.052, -53.79 22.691 3.052, -53.887 29.689 3.052, -46.396 29.788 3.052, -46.195 22.278 3.052)))",LayeredConstr_id_0109
76,61,window,60,d10d913a-8db0-44a8-a891-01343d126b75,True,[],"MULTIPOLYGON Z (((-46.644 29.785 4.6, -53.523 29.694 4.6, -53.523 29.694 5.791, -46.644 29.785 5.791, -46.644 29.785 4.6)))",LayeredConstr_id_0106
77,65,room,0,81a65597-1348-43fc-bdbf-53f2c84dec85,,[],,
78,66,party_wall,65,83b2b31e-30a1-493c-aac1-de4daf0bb9bd,False,[43],"MULTIPOLYGON Z (((-55.633 16.397 6.657, -55.572 13.498 6.657, -55.572 13.498 3.052, -55.633 16.397 3.052, -55.633 16.397 6.657)))",LayeredConstr_id_0012
80,68,party_wall,65,a221c279-11b5-45d8-b043-ec36b01bdbcc,False,[115],"MULTIPOLYGON Z (((-57.087 13.498 6.657, -57.123 16.708 6.657, -57.123 16.708 3.052, -57.087 13.498 3.052, -57.087 13.498 6.657)))",LayeredConstr_id_0012
81,68,party_wall_with_hole,65,a221c279-11b5-45d8-b043-ec36b01bdbcc,True,[115],"MULTIPOLYGON Z (((-57.123 16.708 6.657, -57.123 16.708 3.052, -57.087 13.498 3.052, -57.087 13.498 6.657, -57.123 16.708 6.657), (-57.10171405465642 14.810003206863668 5.862, -57.10171405465642 14.810003206863668 3.786, -57.09293271874269 14.027000754556155 3.786, -57.09293271874269 14.027000754556155 5.862, -57.10171405465642 14.810003206863668 5.862)))",LayeredConstr_id_0012
